ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
WB-116	Landrace 6-row	34.95	2.33	"forestgreen"
WB-117	Landrace 6-row	22.667	57.333	"forestgreen"
WB-118	Landrace 6-row	36.13	74.23	"forestgreen"
WB-122	Landrace 6-row	39.167	70.866	"forestgreen"
WB-123	Landrace 6-row	38.54	68.78	"forestgreen"
WB-125	Landrace 6-row	30.573	104.067	"forestgreen"
WB-129	Landrace 6-row	43.817	125.324	"forestgreen"
WB-130	Landrace 6-row	43.817	125.324	"forestgreen"
WB-133	Landrace 6-row	36.067	120.383	"forestgreen"
WB-135	Landrace 6-row	28.67	77.22	"forestgreen"
WB-136	Landrace 6-row	28.67	77.22	"forestgreen"
WB-138	Landrace 6-row	26.912	75.787	"forestgreen"
WB-140	Landrace 6-row	26.912	75.787	"forestgreen"
WB-141	Landrace 6-row	26.912	75.787	"forestgreen"
WB-142	Landrace 6-row	26.912	75.787	"forestgreen"
WB-143	Landrace 6-row	26.912	75.787	"forestgreen"
WB-144	Landrace 6-row	26.912	75.787	"forestgreen"
WB-145	Landrace 6-row	36.649	138.195	"forestgreen"
WB-146	Landrace 6-row	36.649	138.195	"forestgreen"
WB-147	Landrace 6-row	35.718	127.153	"forestgreen"
WB-148	Landrace 6-row	35.718	127.153	"forestgreen"
WB-150	Landrace 6-row	35.461	128.213	"forestgreen"
WB-151	Landrace 6-row	38.201	125.478	"forestgreen"
WB-152	Landrace 6-row	35.461	128.213	"forestgreen"
WB-153	Landrace 6-row	27.72	85.32	"forestgreen"
WB-154	Landrace 6-row	28.23	84.87	"forestgreen"
WB-155	Landrace 6-row	28.84	83.78	"forestgreen"
WB-156	Landrace 6-row	28.24	83.98	"forestgreen"
WB-157	Landrace 6-row	28.24	83.96	"forestgreen"
WB-158	Landrace 6-row	27.7	85.33	"forestgreen"
WB-250	Landrace 6-row	60.17	24.93	"forestgreen"
WB-268	Landrace 6-row	63.95	41.68	"forestgreen"
WB-273	Landrace 6-row	57.767	41.5	"forestgreen"
WB-276	Landrace 6-row	54.57	100.57	"forestgreen"
WB-277	Landrace 6-row	52	40	"forestgreen"
WB-280	Landrace 6-row	39.654	66.96	"forestgreen"
WB-281	Landrace 6-row	38.54	68.78	"forestgreen"
WB-290	Landrace 6-row	43.823	25.954	"forestgreen"
WB-291	Landrace 6-row	42.063	20.437	"forestgreen"
WB-294	Landrace 6-row	31.533	48.817	"forestgreen"
WB-297	Landrace 6-row	34.583	48.817	"forestgreen"
WB-309	Landrace 6-row	36.701	38.105	"forestgreen"
WB-311	Landrace 6-row	48.5	11.4	"forestgreen"
WB-317	Landrace 6-row	64.5	18	"forestgreen"
WB-318	Landrace 6-row	58.717	5.75	"forestgreen"
WB-319	Landrace 6-row	61.261	12.323	"forestgreen"
WB-322	Landrace 6-row	36.217	6.583	"forestgreen"
WB-323	Landrace 6-row	31.05	33.833	"forestgreen"
WB-324	Landrace 6-row	31.233	34.217	"forestgreen"
WB-326	Landrace 6-row	30.467	30.85	"forestgreen"
WB-328	Landrace 6-row	32.57	35.91	"forestgreen"
WB-331	Landrace 6-row	31.92	35.65	"forestgreen"
WB-334	Landrace 6-row	34.3	35.83	"forestgreen"
WB-337	Landrace 6-row	23.52	56.33	"forestgreen"
WB-338	Landrace 6-row	23.39	57.22	"forestgreen"
WB-339	Landrace 6-row	35.083	38.917	"forestgreen"
WB-340	Landrace 6-row	33.633	36.225	"forestgreen"
WB-341	Landrace 6-row	33.6	36.4	"forestgreen"
WB-342	Landrace 6-row	36.15	39.208	"forestgreen"
WB-350	Landrace 6-row	34.86	39.05	"forestgreen"
WB-351	Landrace 6-row	34.75	36.05	"forestgreen"
WB-352	Landrace 6-row	35.617	35.833	"forestgreen"
WB-354	Landrace 6-row	34.89	40.56	"forestgreen"
WB-355	Landrace 6-row	35.617	35.831	"forestgreen"
WB-361	Landrace 6-row	15.348	44.206	"forestgreen"
WB-363	Landrace 6-row	31.15	29.94	"forestgreen"
WB-394	Landrace 6-row	31.617	65.717	"forestgreen"
WB-395	Landrace 6-row	35.86	71.79	"forestgreen"
